experiencia,escolaridade,salario,grupo
6,1,6908,0
19,1,11307,2
28,1,15812,1
14,2,13291,2
10,2,8975,0
7,1,6271,0
28,2,18390,1
20,0,9125,0
6,1,10317,2
25,0,12769,2
18,0,8839,0
22,1,12573,2
10,2,10275,2
10,0,6145,0
23,1,11062,2
20,0,12895,2
3,0,4176,0
7,0,5758,0
23,0,13426,2
2,2,6218,0
21,0,10262,2
20,0,11686,2
1,0,3303,0
23,2,16717,1
11,0,7279,0
29,0,14237,1
5,2,11150,2
1,2,8998,0
27,2,14051,2
20,0,13220,2
0,2,10238,2
11,2,13247,2
25,0,12678,2
21,2,14366,1
28,0,15291,1
11,1,8471,0
24,2,17134,1
16,1,11367,2
26,0,15227,1
26,2,16815,1
9,0,5935,0
27,1,16367,1
27,0,16700,1
15,2,13121,2
14,2,11975,2
29,1,17886,1
29,0,15677,1
14,2,11172,2
29,1,15795,1
18,2,15844,1
11,2,12042,2
22,0,8095,0
19,2,15322,1
24,0,13989,2
2,2,6543,0
4,1,7615,0
18,2,17008,1
6,0,5994,0
20,0,10061,2
8,1,7416,0
6,2,9419,0
17,2,14366,1
3,1,6294,0
24,2,17352,1
27,2,17579,1
13,0,8470,0
17,2,15247,1
25,2,15402,1
8,1,8363,0
25,1,15158,1
20,0,12381,2
1,2,7059,0
19,2,15579,1
27,2,19454,1
14,0,5825,0
27,0,15552,1
6,1,5921,0
11,0,5759,0
28,2,13880,2
7,2,8595,0
14,0,8592,0
2,2,7225,0
13,2,11506,2
16,0,7731,0
3,0,5500,0
17,2,15237,1
7,2,10427,2
3,2,5370,0
1,1,8810,0
29,1,16820,1
5,1,7809,0
21,0,9152,0
9,1,8582,0
3,0,4820,0
21,0,11188,2
28,1,17508,1
17,1,13750,2
25,1,12984,2
11,2,12675,2
1,1,5991,0
